[31800:31804:0530/173958.313:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31800:8680:0530/173958.372:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[31800:31804:0530/173958.388:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[31800:10484:0530/200813.064:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/200814.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200816.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200817.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200819.069:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200820.070:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
[31800:10484:0530/200823.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200824.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200829.073:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200830.081:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200832.081:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
[31800:10484:0530/200834.081:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200839.082:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200840.082:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200842.082:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200844.081:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=80})
[31800:10484:0530/200845.082:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200846.089:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200850.089:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200852.089:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200856.090:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200903.099:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200906.099:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=79})
[31800:10484:0530/200908.099:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=78})
[31800:10484:0530/200909.099:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000027CC00146D40}, {new_limit=77})
